timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/17 16:07:33.171, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/17 16:07:38.173, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/17 16:07:43.174, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/17 16:07:48.176, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/17 16:07:53.177, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/17 16:07:58.179, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/17 16:08:03.181, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/17 16:08:08.182, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/17 16:08:13.183, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/17 16:08:18.184, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/17 16:08:23.186, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/17 16:08:28.187, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/17 16:08:33.189, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/17 16:08:38.190, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/17 16:08:43.192, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/17 16:08:48.193, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12003 MiB, 193 MiB
