timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/22 13:38:59.029, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/22 13:39:04.031, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/22 13:39:09.032, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/22 13:39:14.033, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/22 13:39:19.035, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/22 13:39:24.038, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/22 13:39:29.039, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/22 13:39:34.043, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/22 13:39:39.044, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 9355 MiB, 2841 MiB
2023/11/22 13:39:44.045, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 8727 MiB, 3469 MiB
2023/11/22 13:39:49.046, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7967 MiB, 4229 MiB
2023/11/22 13:39:54.047, NVIDIA TITAN Xp COLLECTORS EDITION, 13 %, 4 %, 12196 MiB, 7967 MiB, 4229 MiB
2023/11/22 13:39:59.048, NVIDIA TITAN Xp COLLECTORS EDITION, 62 %, 14 %, 12196 MiB, 7965 MiB, 4231 MiB
2023/11/22 13:40:04.049, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7917 MiB, 4279 MiB
2023/11/22 13:40:09.050, NVIDIA TITAN Xp COLLECTORS EDITION, 23 %, 5 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:40:14.051, NVIDIA TITAN Xp COLLECTORS EDITION, 17 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:40:19.053, NVIDIA TITAN Xp COLLECTORS EDITION, 11 %, 5 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:40:24.054, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:40:29.055, NVIDIA TITAN Xp COLLECTORS EDITION, 20 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:40:34.058, NVIDIA TITAN Xp COLLECTORS EDITION, 20 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:40:39.059, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:40:44.060, NVIDIA TITAN Xp COLLECTORS EDITION, 20 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:40:49.061, NVIDIA TITAN Xp COLLECTORS EDITION, 21 %, 6 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:40:54.065, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:40:59.066, NVIDIA TITAN Xp COLLECTORS EDITION, 4 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:04.067, NVIDIA TITAN Xp COLLECTORS EDITION, 54 %, 29 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:09.068, NVIDIA TITAN Xp COLLECTORS EDITION, 27 %, 6 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:14.069, NVIDIA TITAN Xp COLLECTORS EDITION, 22 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:19.070, NVIDIA TITAN Xp COLLECTORS EDITION, 61 %, 15 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:24.071, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:29.072, NVIDIA TITAN Xp COLLECTORS EDITION, 60 %, 15 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:34.075, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:39.076, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:44.077, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:49.078, NVIDIA TITAN Xp COLLECTORS EDITION, 39 %, 10 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:54.079, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:41:59.080, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:04.081, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:09.082, NVIDIA TITAN Xp COLLECTORS EDITION, 76 %, 8 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:14.083, NVIDIA TITAN Xp COLLECTORS EDITION, 59 %, 15 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:19.084, NVIDIA TITAN Xp COLLECTORS EDITION, 38 %, 10 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:24.088, NVIDIA TITAN Xp COLLECTORS EDITION, 55 %, 9 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:29.093, NVIDIA TITAN Xp COLLECTORS EDITION, 59 %, 17 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:34.095, NVIDIA TITAN Xp COLLECTORS EDITION, 60 %, 13 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:39.096, NVIDIA TITAN Xp COLLECTORS EDITION, 64 %, 12 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:44.097, NVIDIA TITAN Xp COLLECTORS EDITION, 17 %, 3 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:49.100, NVIDIA TITAN Xp COLLECTORS EDITION, 20 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:54.101, NVIDIA TITAN Xp COLLECTORS EDITION, 18 %, 4 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:42:59.102, NVIDIA TITAN Xp COLLECTORS EDITION, 59 %, 13 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:04.103, NVIDIA TITAN Xp COLLECTORS EDITION, 23 %, 6 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:09.104, NVIDIA TITAN Xp COLLECTORS EDITION, 25 %, 8 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:14.105, NVIDIA TITAN Xp COLLECTORS EDITION, 66 %, 13 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:19.106, NVIDIA TITAN Xp COLLECTORS EDITION, 8 %, 5 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:24.107, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:29.108, NVIDIA TITAN Xp COLLECTORS EDITION, 21 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:34.109, NVIDIA TITAN Xp COLLECTORS EDITION, 9 %, 3 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:39.110, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:44.111, NVIDIA TITAN Xp COLLECTORS EDITION, 6 %, 4 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:49.112, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 13:43:54.113, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
