timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/22 11:46:02.157, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/22 11:46:07.160, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/22 11:46:12.162, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/22 11:46:17.163, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/22 11:46:22.164, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/22 11:46:27.166, NVIDIA TITAN Xp COLLECTORS EDITION, 6 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/22 11:46:32.167, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/22 11:46:37.168, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/22 11:46:42.169, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 9991 MiB, 2205 MiB
2023/11/22 11:46:47.170, NVIDIA TITAN Xp COLLECTORS EDITION, 6 %, 4 %, 12196 MiB, 8881 MiB, 3315 MiB
2023/11/22 11:46:52.172, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 1 %, 12196 MiB, 7967 MiB, 4229 MiB
2023/11/22 11:46:57.173, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7967 MiB, 4229 MiB
2023/11/22 11:47:02.174, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7965 MiB, 4231 MiB
2023/11/22 11:47:07.175, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 1 %, 12196 MiB, 7917 MiB, 4279 MiB
2023/11/22 11:47:12.176, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:47:17.177, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:47:22.178, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:47:27.180, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:47:32.181, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:47:37.182, NVIDIA TITAN Xp COLLECTORS EDITION, 19 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:47:42.183, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:47:47.184, NVIDIA TITAN Xp COLLECTORS EDITION, 19 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:47:52.185, NVIDIA TITAN Xp COLLECTORS EDITION, 19 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:47:57.186, NVIDIA TITAN Xp COLLECTORS EDITION, 19 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:02.188, NVIDIA TITAN Xp COLLECTORS EDITION, 80 %, 16 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:07.189, NVIDIA TITAN Xp COLLECTORS EDITION, 62 %, 14 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:12.190, NVIDIA TITAN Xp COLLECTORS EDITION, 55 %, 12 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:17.191, NVIDIA TITAN Xp COLLECTORS EDITION, 14 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:22.192, NVIDIA TITAN Xp COLLECTORS EDITION, 60 %, 15 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:27.193, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:32.194, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:37.195, NVIDIA TITAN Xp COLLECTORS EDITION, 10 %, 7 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:42.197, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:47.198, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:52.199, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:48:57.200, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:02.201, NVIDIA TITAN Xp COLLECTORS EDITION, 4 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:07.202, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:12.203, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:17.205, NVIDIA TITAN Xp COLLECTORS EDITION, 61 %, 15 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:22.206, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:27.207, NVIDIA TITAN Xp COLLECTORS EDITION, 56 %, 10 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:32.208, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:37.209, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:42.210, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:47.211, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:52.212, NVIDIA TITAN Xp COLLECTORS EDITION, 18 %, 4 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:49:57.214, NVIDIA TITAN Xp COLLECTORS EDITION, 58 %, 16 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:02.215, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:07.216, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:12.217, NVIDIA TITAN Xp COLLECTORS EDITION, 62 %, 14 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:17.218, NVIDIA TITAN Xp COLLECTORS EDITION, 69 %, 14 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:22.219, NVIDIA TITAN Xp COLLECTORS EDITION, 19 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:27.220, NVIDIA TITAN Xp COLLECTORS EDITION, 10 %, 6 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:32.222, NVIDIA TITAN Xp COLLECTORS EDITION, 24 %, 6 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:37.223, NVIDIA TITAN Xp COLLECTORS EDITION, 20 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:42.224, NVIDIA TITAN Xp COLLECTORS EDITION, 12 %, 7 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:47.225, NVIDIA TITAN Xp COLLECTORS EDITION, 11 %, 3 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:52.226, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:50:57.227, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:02.228, NVIDIA TITAN Xp COLLECTORS EDITION, 20 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:07.230, NVIDIA TITAN Xp COLLECTORS EDITION, 68 %, 34 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:12.231, NVIDIA TITAN Xp COLLECTORS EDITION, 78 %, 16 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:17.232, NVIDIA TITAN Xp COLLECTORS EDITION, 20 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:22.233, NVIDIA TITAN Xp COLLECTORS EDITION, 20 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:27.234, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:32.235, NVIDIA TITAN Xp COLLECTORS EDITION, 21 %, 3 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:37.236, NVIDIA TITAN Xp COLLECTORS EDITION, 19 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:42.238, NVIDIA TITAN Xp COLLECTORS EDITION, 62 %, 37 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:47.239, NVIDIA TITAN Xp COLLECTORS EDITION, 21 %, 5 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:52.240, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:51:57.241, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:52:02.242, NVIDIA TITAN Xp COLLECTORS EDITION, 26 %, 7 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:52:07.244, NVIDIA TITAN Xp COLLECTORS EDITION, 20 %, 2 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:52:12.245, NVIDIA TITAN Xp COLLECTORS EDITION, 21 %, 4 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:52:17.246, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:52:22.247, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:52:27.248, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:52:32.250, NVIDIA TITAN Xp COLLECTORS EDITION, 5 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:52:37.251, NVIDIA TITAN Xp COLLECTORS EDITION, 3 %, 0 %, 12196 MiB, 7671 MiB, 4525 MiB
2023/11/22 11:52:42.252, NVIDIA TITAN Xp COLLECTORS EDITION, 4 %, 1 %, 12196 MiB, 7671 MiB, 4525 MiB
