timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/09 17:48:37.245, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/09 17:48:42.247, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/09 17:48:47.248, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/09 17:48:52.249, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/09 17:48:57.250, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/09 17:49:02.251, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/09 17:49:07.252, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/09 17:49:12.253, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/09 17:49:17.254, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/09 17:49:22.255, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/09 17:49:27.256, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 12091 MiB, 121 MiB
2023/11/09 17:49:32.257, NVIDIA GeForce GTX TITAN X, 1 %, 0 %, 12212 MiB, 11984 MiB, 228 MiB
2023/11/09 17:49:37.258, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/09 17:49:42.259, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/09 17:49:47.260, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/09 17:49:52.261, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10330 MiB, 1882 MiB
2023/11/09 17:49:57.262, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 9173 MiB, 3039 MiB
2023/11/09 17:50:02.263, NVIDIA GeForce GTX TITAN X, 26 %, 11 %, 12212 MiB, 8131 MiB, 4081 MiB
2023/11/09 17:50:07.264, NVIDIA GeForce GTX TITAN X, 10 %, 4 %, 12212 MiB, 8131 MiB, 4081 MiB
2023/11/09 17:50:12.265, NVIDIA GeForce GTX TITAN X, 2 %, 0 %, 12212 MiB, 8131 MiB, 4081 MiB
2023/11/09 17:50:17.265, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 8131 MiB, 4081 MiB
2023/11/09 17:50:22.266, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 8131 MiB, 4081 MiB
2023/11/09 17:50:27.267, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 8131 MiB, 4081 MiB
2023/11/09 17:50:32.268, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 8131 MiB, 4081 MiB
2023/11/09 17:50:37.269, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 8131 MiB, 4081 MiB
2023/11/09 17:50:42.270, NVIDIA GeForce GTX TITAN X, 97 %, 79 %, 12212 MiB, 5035 MiB, 7177 MiB
2023/11/09 17:50:47.271, NVIDIA GeForce GTX TITAN X, 96 %, 51 %, 12212 MiB, 5035 MiB, 7177 MiB
2023/11/09 17:50:52.272, NVIDIA GeForce GTX TITAN X, 94 %, 48 %, 12212 MiB, 5035 MiB, 7177 MiB
2023/11/09 17:50:57.272, NVIDIA GeForce GTX TITAN X, 54 %, 54 %, 12212 MiB, 5035 MiB, 7177 MiB
2023/11/09 17:51:02.273, NVIDIA GeForce GTX TITAN X, 94 %, 49 %, 12212 MiB, 5035 MiB, 7177 MiB
2023/11/09 17:51:07.274, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 5035 MiB, 7177 MiB
2023/11/09 17:51:12.275, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 5035 MiB, 7177 MiB
2023/11/09 17:51:17.276, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 5035 MiB, 7177 MiB
2023/11/09 17:51:22.277, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 5035 MiB, 7177 MiB
2023/11/09 17:51:27.278, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 5035 MiB, 7177 MiB
2023/11/09 17:51:32.279, NVIDIA GeForce GTX TITAN X, 7 %, 4 %, 12212 MiB, 5035 MiB, 7177 MiB
