timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/20 18:54:06.262, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/20 18:54:11.263, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:54:16.263, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:54:21.264, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:54:26.265, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:54:31.266, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/20 18:54:36.266, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/20 18:54:41.267, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/20 18:54:46.268, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 9609 MiB, 2603 MiB
2023/11/20 18:54:51.268, NVIDIA GeForce GTX TITAN X, 99 %, 0 %, 12212 MiB, 8313 MiB, 3899 MiB
2023/11/20 18:54:56.269, NVIDIA GeForce GTX TITAN X, 19 %, 7 %, 12212 MiB, 8241 MiB, 3971 MiB
2023/11/20 18:55:01.270, NVIDIA GeForce GTX TITAN X, 79 %, 17 %, 12212 MiB, 7253 MiB, 4959 MiB
2023/11/20 18:55:06.271, NVIDIA GeForce GTX TITAN X, 80 %, 60 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:55:11.271, NVIDIA GeForce GTX TITAN X, 11 %, 4 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:55:16.272, NVIDIA GeForce GTX TITAN X, 7 %, 1 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:55:21.273, NVIDIA GeForce GTX TITAN X, 31 %, 9 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:55:26.274, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:55:31.275, NVIDIA GeForce GTX TITAN X, 40 %, 13 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:55:36.275, NVIDIA GeForce GTX TITAN X, 74 %, 15 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:55:41.276, NVIDIA GeForce GTX TITAN X, 36 %, 5 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:55:46.277, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:55:51.278, NVIDIA GeForce GTX TITAN X, 99 %, 1 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:55:56.279, NVIDIA GeForce GTX TITAN X, 77 %, 17 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:56:01.280, NVIDIA GeForce GTX TITAN X, 36 %, 13 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:06.281, NVIDIA GeForce GTX TITAN X, 80 %, 16 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:11.281, NVIDIA GeForce GTX TITAN X, 7 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:16.282, NVIDIA GeForce GTX TITAN X, 74 %, 17 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:21.283, NVIDIA GeForce GTX TITAN X, 82 %, 27 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:26.284, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:31.285, NVIDIA GeForce GTX TITAN X, 36 %, 5 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:36.286, NVIDIA GeForce GTX TITAN X, 75 %, 17 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:41.287, NVIDIA GeForce GTX TITAN X, 36 %, 5 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:46.287, NVIDIA GeForce GTX TITAN X, 38 %, 9 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:51.288, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:56:56.289, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:01.290, NVIDIA GeForce GTX TITAN X, 75 %, 17 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:06.291, NVIDIA GeForce GTX TITAN X, 62 %, 22 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:11.292, NVIDIA GeForce GTX TITAN X, 78 %, 15 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:16.292, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:21.293, NVIDIA GeForce GTX TITAN X, 90 %, 16 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:26.294, NVIDIA GeForce GTX TITAN X, 73 %, 19 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:31.295, NVIDIA GeForce GTX TITAN X, 36 %, 5 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:36.296, NVIDIA GeForce GTX TITAN X, 71 %, 23 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:41.297, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:46.297, NVIDIA GeForce GTX TITAN X, 77 %, 15 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:51.298, NVIDIA GeForce GTX TITAN X, 21 %, 8 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:57:56.299, NVIDIA GeForce GTX TITAN X, 50 %, 11 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:58:01.300, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:58:06.301, NVIDIA GeForce GTX TITAN X, 50 %, 17 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:58:11.302, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:58:16.303, NVIDIA GeForce GTX TITAN X, 77 %, 14 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:58:21.303, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
