timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/20 18:55:55.462, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/20 18:56:00.463, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/20 18:56:05.464, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/20 18:56:10.465, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/20 18:56:15.466, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:56:20.467, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:56:25.468, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:56:30.469, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:56:35.470, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:56:40.471, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:56:45.472, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12077 MiB, 135 MiB
2023/11/20 18:56:50.473, NVIDIA GeForce GTX TITAN X, 2 %, 0 %, 12212 MiB, 11857 MiB, 355 MiB
2023/11/20 18:56:55.474, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/20 18:57:00.475, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/20 18:57:05.476, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/20 18:57:10.477, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10294 MiB, 1918 MiB
2023/11/20 18:57:15.477, NVIDIA GeForce GTX TITAN X, 74 %, 17 %, 12212 MiB, 8603 MiB, 3609 MiB
2023/11/20 18:57:20.478, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 8241 MiB, 3971 MiB
2023/11/20 18:57:25.479, NVIDIA GeForce GTX TITAN X, 78 %, 18 %, 12212 MiB, 7271 MiB, 4941 MiB
2023/11/20 18:57:30.480, NVIDIA GeForce GTX TITAN X, 66 %, 40 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:57:35.481, NVIDIA GeForce GTX TITAN X, 35 %, 6 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:57:40.482, NVIDIA GeForce GTX TITAN X, 34 %, 5 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:57:45.483, NVIDIA GeForce GTX TITAN X, 72 %, 17 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:57:50.483, NVIDIA GeForce GTX TITAN X, 17 %, 6 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:57:55.484, NVIDIA GeForce GTX TITAN X, 100 %, 1 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:58:00.485, NVIDIA GeForce GTX TITAN X, 78 %, 16 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:58:05.486, NVIDIA GeForce GTX TITAN X, 100 %, 0 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:58:10.487, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:58:15.488, NVIDIA GeForce GTX TITAN X, 79 %, 13 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:58:20.488, NVIDIA GeForce GTX TITAN X, 9 %, 5 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:58:25.489, NVIDIA GeForce GTX TITAN X, 74 %, 51 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:58:30.490, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:58:35.491, NVIDIA GeForce GTX TITAN X, 70 %, 39 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:58:40.492, NVIDIA GeForce GTX TITAN X, 46 %, 14 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:58:45.492, NVIDIA GeForce GTX TITAN X, 73 %, 16 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:58:50.493, NVIDIA GeForce GTX TITAN X, 19 %, 9 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:58:55.494, NVIDIA GeForce GTX TITAN X, 88 %, 21 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:00.495, NVIDIA GeForce GTX TITAN X, 64 %, 19 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:05.496, NVIDIA GeForce GTX TITAN X, 72 %, 19 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:10.497, NVIDIA GeForce GTX TITAN X, 32 %, 7 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:15.497, NVIDIA GeForce GTX TITAN X, 43 %, 14 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:20.498, NVIDIA GeForce GTX TITAN X, 74 %, 16 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:25.499, NVIDIA GeForce GTX TITAN X, 8 %, 2 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:30.502, NVIDIA GeForce GTX TITAN X, 66 %, 20 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:35.503, NVIDIA GeForce GTX TITAN X, 7 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:40.504, NVIDIA GeForce GTX TITAN X, 36 %, 9 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:45.504, NVIDIA GeForce GTX TITAN X, 7 %, 2 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/20 18:59:50.505, NVIDIA GeForce GTX TITAN X, 80 %, 25 %, 12212 MiB, 6565 MiB, 5647 MiB
