timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/09 00:39:24.062, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/09 00:39:29.073, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/09 00:39:34.074, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/09 00:39:39.079, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/09 00:39:44.082, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/09 00:39:49.083, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/09 00:39:54.084, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/09 00:39:59.086, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/09 00:40:04.087, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/09 00:40:09.088, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/09 00:40:14.089, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/09 00:40:19.100, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 11971 MiB, 225 MiB
2023/11/09 00:40:24.103, NVIDIA TITAN Xp, 1 %, 0 %, 12196 MiB, 11717 MiB, 479 MiB
2023/11/09 00:40:29.109, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/09 00:40:34.110, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/09 00:40:39.110, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/09 00:40:44.114, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/09 00:40:49.114, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 8899 MiB, 3297 MiB
2023/11/09 00:40:54.119, NVIDIA TITAN Xp, 11 %, 4 %, 12196 MiB, 8247 MiB, 3949 MiB
2023/11/09 00:40:59.120, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7003 MiB, 5193 MiB
2023/11/09 00:41:04.124, NVIDIA TITAN Xp, 2 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:09.131, NVIDIA TITAN Xp, 5 %, 3 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:14.132, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:19.133, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:24.135, NVIDIA TITAN Xp, 2 %, 0 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:29.141, NVIDIA TITAN Xp, 6 %, 3 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:34.142, NVIDIA TITAN Xp, 47 %, 25 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:39.143, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:44.145, NVIDIA TITAN Xp, 2 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:49.146, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:54.147, NVIDIA TITAN Xp, 25 %, 7 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:41:59.149, NVIDIA TITAN Xp, 30 %, 11 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:04.158, NVIDIA TITAN Xp, 23 %, 4 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:09.159, NVIDIA TITAN Xp, 18 %, 6 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:14.165, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:19.166, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:24.167, NVIDIA TITAN Xp, 4 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:29.168, NVIDIA TITAN Xp, 33 %, 11 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:34.169, NVIDIA TITAN Xp, 22 %, 3 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:39.170, NVIDIA TITAN Xp, 18 %, 4 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:44.171, NVIDIA TITAN Xp, 7 %, 5 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:49.172, NVIDIA TITAN Xp, 2 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:54.173, NVIDIA TITAN Xp, 4 %, 2 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:42:59.177, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:04.178, NVIDIA TITAN Xp, 3 %, 0 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:09.179, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:14.180, NVIDIA TITAN Xp, 2 %, 0 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:19.181, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:24.182, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:29.183, NVIDIA TITAN Xp, 3 %, 0 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:34.184, NVIDIA TITAN Xp, 3 %, 0 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:39.185, NVIDIA TITAN Xp, 16 %, 6 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:44.190, NVIDIA TITAN Xp, 40 %, 16 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:49.192, NVIDIA TITAN Xp, 22 %, 3 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:54.193, NVIDIA TITAN Xp, 29 %, 6 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:43:59.193, NVIDIA TITAN Xp, 6 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:44:04.194, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:44:09.198, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:44:14.200, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:44:19.201, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:44:24.201, NVIDIA TITAN Xp, 27 %, 7 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:44:29.203, NVIDIA TITAN Xp, 21 %, 3 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:44:34.204, NVIDIA TITAN Xp, 18 %, 4 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:44:39.206, NVIDIA TITAN Xp, 11 %, 6 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:44:44.207, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
2023/11/09 00:44:49.208, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 7001 MiB, 5195 MiB
