timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/20 18:52:38.011, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/20 18:52:43.013, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:52:48.014, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:52:53.015, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:52:58.016, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/20 18:53:03.017, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/20 18:53:08.018, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/20 18:53:13.019, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/20 18:53:18.020, NVIDIA GeForce GTX TITAN X, 3 %, 1 %, 12212 MiB, 9677 MiB, 2535 MiB
2023/11/20 18:53:23.021, NVIDIA GeForce GTX TITAN X, 97 %, 14 %, 12212 MiB, 8313 MiB, 3899 MiB
2023/11/20 18:53:28.021, NVIDIA GeForce GTX TITAN X, 2 %, 0 %, 12212 MiB, 8241 MiB, 3971 MiB
2023/11/20 18:53:33.022, NVIDIA GeForce GTX TITAN X, 75 %, 17 %, 12212 MiB, 7255 MiB, 4957 MiB
2023/11/20 18:53:38.023, NVIDIA GeForce GTX TITAN X, 79 %, 60 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:53:43.024, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:53:48.025, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/20 18:53:53.026, NVIDIA GeForce GTX TITAN X, 42 %, 8 %, 12212 MiB, 6949 MiB, 5263 MiB
