timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/10 18:31:00.804, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/10 18:31:05.805, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/10 18:31:10.806, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/10 18:31:15.807, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/10 18:31:20.808, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/10 18:31:25.809, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/10 18:31:30.810, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/10 18:31:35.811, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/10 18:31:40.812, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/10 18:31:45.813, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/10 18:31:50.814, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/10 18:31:55.815, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/10 18:32:00.816, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/10 18:32:05.817, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12092 MiB, 120 MiB
2023/11/10 18:32:10.818, NVIDIA GeForce GTX TITAN X, 1 %, 0 %, 12212 MiB, 12050 MiB, 162 MiB
2023/11/10 18:32:15.818, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 11885 MiB, 327 MiB
2023/11/10 18:32:20.819, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/10 18:32:25.820, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/10 18:32:30.820, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/10 18:32:35.821, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/10 18:32:40.822, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10308 MiB, 1904 MiB
2023/11/10 18:32:45.823, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 8409 MiB, 3803 MiB
