timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/10 20:17:38.217, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/10 20:17:43.219, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/10 20:17:48.220, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/10 20:17:53.225, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/10 20:17:58.226, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/10 20:18:03.227, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/10 20:18:08.232, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/10 20:18:13.234, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/10 20:18:18.235, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/10 20:18:23.236, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/10 20:18:28.238, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/10 20:18:33.239, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/10 20:18:38.240, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 12184 MiB, 12 MiB
2023/11/10 20:18:43.244, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 11993 MiB, 203 MiB
2023/11/10 20:18:48.245, NVIDIA TITAN Xp COLLECTORS EDITION, 1 %, 0 %, 12196 MiB, 11899 MiB, 297 MiB
2023/11/10 20:18:53.247, NVIDIA TITAN Xp COLLECTORS EDITION, 1 %, 0 %, 12196 MiB, 11621 MiB, 575 MiB
2023/11/10 20:18:58.248, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/10 20:19:03.249, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/10 20:19:08.254, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/10 20:19:13.255, NVIDIA TITAN Xp COLLECTORS EDITION, 0 %, 0 %, 12196 MiB, 10199 MiB, 1997 MiB
2023/11/10 20:19:18.258, NVIDIA TITAN Xp COLLECTORS EDITION, 26 %, 9 %, 12196 MiB, 8199 MiB, 3997 MiB
2023/11/10 20:19:23.266, NVIDIA TITAN Xp COLLECTORS EDITION, 2 %, 1 %, 12196 MiB, 8089 MiB, 4107 MiB
2023/11/10 20:19:28.267, NVIDIA TITAN Xp COLLECTORS EDITION, 63 %, 15 %, 12196 MiB, 7153 MiB, 5043 MiB
2023/11/10 20:19:33.272, NVIDIA TITAN Xp COLLECTORS EDITION, 10 %, 6 %, 12196 MiB, 6885 MiB, 5311 MiB
2023/11/10 20:19:38.275, NVIDIA TITAN Xp COLLECTORS EDITION, 24 %, 4 %, 12196 MiB, 6885 MiB, 5311 MiB
2023/11/10 20:19:43.276, NVIDIA TITAN Xp COLLECTORS EDITION, 4 %, 1 %, 12196 MiB, 6885 MiB, 5311 MiB
