timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/15 01:01:49.435, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/15 01:01:54.437, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/15 01:01:59.438, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/15 01:02:04.440, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/15 01:02:09.441, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/15 01:02:14.442, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/11/15 01:02:19.446, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/15 01:02:24.447, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/15 01:02:29.448, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/15 01:02:34.449, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/15 01:02:39.450, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/15 01:02:44.451, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/15 01:02:49.452, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/15 01:02:54.454, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/11/15 01:02:59.460, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 11999 MiB, 197 MiB
2023/11/15 01:03:04.461, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 11925 MiB, 271 MiB
2023/11/15 01:03:09.463, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 11763 MiB, 433 MiB
2023/11/15 01:03:14.468, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/15 01:03:19.469, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/15 01:03:24.470, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/15 01:03:29.473, NVIDIA TITAN Xp, 0 %, 0 %, 12196 MiB, 10337 MiB, 1859 MiB
2023/11/15 01:03:34.473, NVIDIA TITAN Xp, 2 %, 0 %, 12196 MiB, 9567 MiB, 2629 MiB
2023/11/15 01:03:39.474, NVIDIA TITAN Xp, 22 %, 3 %, 12196 MiB, 8199 MiB, 3997 MiB
2023/11/15 01:03:44.475, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 8075 MiB, 4121 MiB
2023/11/15 01:03:49.478, NVIDIA TITAN Xp, 63 %, 15 %, 12196 MiB, 7143 MiB, 5053 MiB
2023/11/15 01:03:54.481, NVIDIA TITAN Xp, 5 %, 3 %, 12196 MiB, 6885 MiB, 5311 MiB
2023/11/15 01:03:59.484, NVIDIA TITAN Xp, 3 %, 1 %, 12196 MiB, 6885 MiB, 5311 MiB
