timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/17 01:30:02.117, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 01:30:07.119, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 01:30:12.120, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 01:30:17.121, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 01:30:22.121, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 01:30:27.122, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 01:30:32.123, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 01:30:37.124, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 01:30:42.125, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 01:30:47.126, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 01:30:52.127, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 01:30:57.128, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 01:31:02.129, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12091 MiB, 121 MiB
2023/11/17 01:31:07.130, NVIDIA GeForce GTX TITAN X, 1 %, 0 %, 12212 MiB, 12010 MiB, 202 MiB
2023/11/17 01:31:12.131, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 11760 MiB, 452 MiB
2023/11/17 01:31:17.132, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/17 01:31:22.133, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/17 01:31:27.134, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/17 01:31:32.134, NVIDIA GeForce GTX TITAN X, 4 %, 1 %, 12212 MiB, 10027 MiB, 2185 MiB
2023/11/17 01:31:37.135, NVIDIA GeForce GTX TITAN X, 27 %, 10 %, 12212 MiB, 8465 MiB, 3747 MiB
2023/11/17 01:31:42.136, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 8241 MiB, 3971 MiB
2023/11/17 01:31:47.137, NVIDIA GeForce GTX TITAN X, 74 %, 17 %, 12212 MiB, 7263 MiB, 4949 MiB
2023/11/17 01:31:52.138, NVIDIA GeForce GTX TITAN X, 89 %, 36 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 01:31:57.138, NVIDIA GeForce GTX TITAN X, 22 %, 12 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 01:32:02.139, NVIDIA GeForce GTX TITAN X, 41 %, 14 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 01:32:07.140, NVIDIA GeForce GTX TITAN X, 70 %, 16 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 01:32:12.141, NVIDIA GeForce GTX TITAN X, 7 %, 4 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 01:32:17.142, NVIDIA GeForce GTX TITAN X, 34 %, 5 %, 12212 MiB, 6949 MiB, 5263 MiB
