timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/22 23:34:28.623, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/22 23:34:33.625, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/22 23:34:38.626, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/22 23:34:43.627, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/22 23:34:48.628, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/22 23:34:53.629, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/22 23:34:58.630, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/22 23:35:03.631, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/22 23:35:08.632, NVIDIA GeForce GTX TITAN X, 32 %, 4 %, 12212 MiB, 9309 MiB, 2903 MiB
2023/11/22 23:35:13.633, NVIDIA GeForce GTX TITAN X, 89 %, 7 %, 12212 MiB, 8081 MiB, 4131 MiB
2023/11/22 23:35:18.634, NVIDIA GeForce GTX TITAN X, 30 %, 6 %, 12212 MiB, 8081 MiB, 4131 MiB
2023/11/22 23:35:23.634, NVIDIA GeForce GTX TITAN X, 69 %, 15 %, 12212 MiB, 8081 MiB, 4131 MiB
2023/11/22 23:35:28.635, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 8079 MiB, 4133 MiB
2023/11/22 23:35:33.636, NVIDIA GeForce GTX TITAN X, 22 %, 12 %, 12212 MiB, 8069 MiB, 4143 MiB
2023/11/22 23:35:38.637, NVIDIA GeForce GTX TITAN X, 56 %, 36 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:35:43.638, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:35:48.639, NVIDIA GeForce GTX TITAN X, 8 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:35:53.640, NVIDIA GeForce GTX TITAN X, 15 %, 9 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:35:58.641, NVIDIA GeForce GTX TITAN X, 27 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:03.641, NVIDIA GeForce GTX TITAN X, 75 %, 16 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:08.642, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:13.643, NVIDIA GeForce GTX TITAN X, 20 %, 4 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:18.644, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:23.645, NVIDIA GeForce GTX TITAN X, 6 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:28.646, NVIDIA GeForce GTX TITAN X, 28 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:33.647, NVIDIA GeForce GTX TITAN X, 26 %, 6 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:38.648, NVIDIA GeForce GTX TITAN X, 63 %, 32 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:43.649, NVIDIA GeForce GTX TITAN X, 25 %, 8 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:48.650, NVIDIA GeForce GTX TITAN X, 25 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:53.651, NVIDIA GeForce GTX TITAN X, 13 %, 6 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:36:58.652, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:03.652, NVIDIA GeForce GTX TITAN X, 76 %, 20 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:08.653, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:13.654, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:18.655, NVIDIA GeForce GTX TITAN X, 29 %, 4 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:23.656, NVIDIA GeForce GTX TITAN X, 27 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:28.657, NVIDIA GeForce GTX TITAN X, 95 %, 6 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:33.658, NVIDIA GeForce GTX TITAN X, 27 %, 6 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:38.659, NVIDIA GeForce GTX TITAN X, 64 %, 17 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:43.660, NVIDIA GeForce GTX TITAN X, 8 %, 4 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:48.661, NVIDIA GeForce GTX TITAN X, 27 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:53.662, NVIDIA GeForce GTX TITAN X, 10 %, 4 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:37:58.663, NVIDIA GeForce GTX TITAN X, 14 %, 7 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:38:03.664, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:38:08.665, NVIDIA GeForce GTX TITAN X, 85 %, 17 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:38:13.665, NVIDIA GeForce GTX TITAN X, 31 %, 6 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:38:18.666, NVIDIA GeForce GTX TITAN X, 78 %, 13 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:38:23.667, NVIDIA GeForce GTX TITAN X, 8 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/22 23:38:28.668, NVIDIA GeForce GTX TITAN X, 27 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
