timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/17 13:52:48.718, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 13:52:53.720, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 13:52:58.721, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 13:53:03.722, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 13:53:08.723, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 13:53:13.724, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/17 13:53:18.725, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 13:53:23.726, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 13:53:28.727, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 13:53:33.728, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 13:53:38.729, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 13:53:43.729, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 13:53:48.730, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/17 13:53:53.731, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12095 MiB, 117 MiB
2023/11/17 13:53:58.732, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12049 MiB, 163 MiB
2023/11/17 13:54:03.733, NVIDIA GeForce GTX TITAN X, 1 %, 0 %, 12212 MiB, 11884 MiB, 328 MiB
2023/11/17 13:54:08.734, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/17 13:54:13.734, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/17 13:54:18.735, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/17 13:54:23.735, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/17 13:54:28.736, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10309 MiB, 1903 MiB
2023/11/17 13:54:33.737, NVIDIA GeForce GTX TITAN X, 76 %, 19 %, 12212 MiB, 8617 MiB, 3595 MiB
2023/11/17 13:54:38.738, NVIDIA GeForce GTX TITAN X, 35 %, 8 %, 12212 MiB, 8313 MiB, 3899 MiB
2023/11/17 13:54:43.738, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 8203 MiB, 4009 MiB
2023/11/17 13:54:48.739, NVIDIA GeForce GTX TITAN X, 77 %, 19 %, 12212 MiB, 7241 MiB, 4971 MiB
2023/11/17 13:54:53.740, NVIDIA GeForce GTX TITAN X, 80 %, 53 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:54:58.740, NVIDIA GeForce GTX TITAN X, 9 %, 2 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:03.741, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:08.742, NVIDIA GeForce GTX TITAN X, 67 %, 17 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:13.742, NVIDIA GeForce GTX TITAN X, 22 %, 6 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:18.743, NVIDIA GeForce GTX TITAN X, 99 %, 7 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:23.744, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:28.744, NVIDIA GeForce GTX TITAN X, 76 %, 15 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:33.745, NVIDIA GeForce GTX TITAN X, 15 %, 6 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:38.746, NVIDIA GeForce GTX TITAN X, 76 %, 14 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:43.748, NVIDIA GeForce GTX TITAN X, 29 %, 5 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:48.748, NVIDIA GeForce GTX TITAN X, 2 %, 0 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/17 13:55:53.749, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:55:58.750, NVIDIA GeForce GTX TITAN X, 75 %, 17 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:03.750, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:08.751, NVIDIA GeForce GTX TITAN X, 75 %, 20 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:13.752, NVIDIA GeForce GTX TITAN X, 100 %, 0 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:18.752, NVIDIA GeForce GTX TITAN X, 19 %, 11 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:23.753, NVIDIA GeForce GTX TITAN X, 30 %, 5 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:28.754, NVIDIA GeForce GTX TITAN X, 77 %, 19 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:33.755, NVIDIA GeForce GTX TITAN X, 76 %, 19 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:38.755, NVIDIA GeForce GTX TITAN X, 16 %, 6 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:43.756, NVIDIA GeForce GTX TITAN X, 32 %, 6 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:48.757, NVIDIA GeForce GTX TITAN X, 74 %, 17 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:53.757, NVIDIA GeForce GTX TITAN X, 30 %, 5 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:56:58.758, NVIDIA GeForce GTX TITAN X, 71 %, 18 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:03.759, NVIDIA GeForce GTX TITAN X, 31 %, 7 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:08.759, NVIDIA GeForce GTX TITAN X, 71 %, 19 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:13.760, NVIDIA GeForce GTX TITAN X, 30 %, 5 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:18.761, NVIDIA GeForce GTX TITAN X, 64 %, 17 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:23.761, NVIDIA GeForce GTX TITAN X, 13 %, 9 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:28.762, NVIDIA GeForce GTX TITAN X, 98 %, 8 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:33.763, NVIDIA GeForce GTX TITAN X, 4 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:38.763, NVIDIA GeForce GTX TITAN X, 56 %, 43 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:43.764, NVIDIA GeForce GTX TITAN X, 20 %, 12 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:48.765, NVIDIA GeForce GTX TITAN X, 22 %, 6 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:53.765, NVIDIA GeForce GTX TITAN X, 4 %, 2 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:57:58.766, NVIDIA GeForce GTX TITAN X, 42 %, 18 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:03.767, NVIDIA GeForce GTX TITAN X, 18 %, 11 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:08.767, NVIDIA GeForce GTX TITAN X, 72 %, 15 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:13.768, NVIDIA GeForce GTX TITAN X, 14 %, 8 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:18.769, NVIDIA GeForce GTX TITAN X, 80 %, 16 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:23.769, NVIDIA GeForce GTX TITAN X, 89 %, 16 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:28.770, NVIDIA GeForce GTX TITAN X, 4 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:33.771, NVIDIA GeForce GTX TITAN X, 35 %, 8 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:38.771, NVIDIA GeForce GTX TITAN X, 72 %, 14 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:43.772, NVIDIA GeForce GTX TITAN X, 14 %, 9 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:48.773, NVIDIA GeForce GTX TITAN X, 80 %, 23 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:53.774, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:58:58.774, NVIDIA GeForce GTX TITAN X, 100 %, 0 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:59:03.775, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/17 13:59:08.776, NVIDIA GeForce GTX TITAN X, 72 %, 22 %, 12212 MiB, 6565 MiB, 5647 MiB
