timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/16 17:15:47.328, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/16 17:15:52.329, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/16 17:15:57.330, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/16 17:16:02.331, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/16 17:16:07.332, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/16 17:16:12.334, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/16 17:16:17.335, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/16 17:16:22.336, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/16 17:16:27.339, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/16 17:16:32.340, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/16 17:16:37.341, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/16 17:16:42.342, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12111 MiB, 101 MiB
2023/11/16 17:16:47.343, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12058 MiB, 154 MiB
2023/11/16 17:16:52.344, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 11901 MiB, 311 MiB
2023/11/16 17:16:57.345, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/16 17:17:02.346, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/16 17:17:07.347, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/16 17:17:12.348, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10340 MiB, 1872 MiB
2023/11/16 17:17:17.349, NVIDIA GeForce GTX TITAN X, 71 %, 17 %, 12212 MiB, 8623 MiB, 3589 MiB
2023/11/16 17:17:22.349, NVIDIA GeForce GTX TITAN X, 35 %, 5 %, 12212 MiB, 8313 MiB, 3899 MiB
2023/11/16 17:17:27.350, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 8177 MiB, 4035 MiB
2023/11/16 17:17:32.351, NVIDIA GeForce GTX TITAN X, 75 %, 18 %, 12212 MiB, 7235 MiB, 4977 MiB
2023/11/16 17:17:37.357, NVIDIA GeForce GTX TITAN X, 77 %, 41 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:17:42.358, NVIDIA GeForce GTX TITAN X, 67 %, 16 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:17:47.359, NVIDIA GeForce GTX TITAN X, 18 %, 10 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:17:52.359, NVIDIA GeForce GTX TITAN X, 60 %, 22 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:17:57.360, NVIDIA GeForce GTX TITAN X, 77 %, 16 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:18:02.361, NVIDIA GeForce GTX TITAN X, 35 %, 5 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:18:07.362, NVIDIA GeForce GTX TITAN X, 77 %, 15 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:18:12.363, NVIDIA GeForce GTX TITAN X, 47 %, 23 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:18:17.363, NVIDIA GeForce GTX TITAN X, 79 %, 13 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:18:22.364, NVIDIA GeForce GTX TITAN X, 35 %, 5 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:18:27.365, NVIDIA GeForce GTX TITAN X, 65 %, 48 %, 12212 MiB, 6949 MiB, 5263 MiB
2023/11/16 17:18:32.366, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:18:37.367, NVIDIA GeForce GTX TITAN X, 79 %, 17 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:18:42.367, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:18:47.368, NVIDIA GeForce GTX TITAN X, 72 %, 17 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:18:52.369, NVIDIA GeForce GTX TITAN X, 35 %, 5 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:18:57.370, NVIDIA GeForce GTX TITAN X, 44 %, 10 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:02.371, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:07.371, NVIDIA GeForce GTX TITAN X, 79 %, 18 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:12.372, NVIDIA GeForce GTX TITAN X, 35 %, 5 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:17.373, NVIDIA GeForce GTX TITAN X, 36 %, 6 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:22.374, NVIDIA GeForce GTX TITAN X, 76 %, 16 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:27.375, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:32.375, NVIDIA GeForce GTX TITAN X, 72 %, 20 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:37.376, NVIDIA GeForce GTX TITAN X, 50 %, 24 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:42.377, NVIDIA GeForce GTX TITAN X, 89 %, 13 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:47.378, NVIDIA GeForce GTX TITAN X, 79 %, 13 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:52.379, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:19:57.380, NVIDIA GeForce GTX TITAN X, 39 %, 8 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:20:02.380, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:20:07.381, NVIDIA GeForce GTX TITAN X, 48 %, 17 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:20:12.382, NVIDIA GeForce GTX TITAN X, 7 %, 2 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:20:17.383, NVIDIA GeForce GTX TITAN X, 100 %, 0 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:20:22.384, NVIDIA GeForce GTX TITAN X, 5 %, 1 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:20:27.384, NVIDIA GeForce GTX TITAN X, 77 %, 50 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:20:32.385, NVIDIA GeForce GTX TITAN X, 18 %, 8 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:20:37.386, NVIDIA GeForce GTX TITAN X, 37 %, 5 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:20:42.387, NVIDIA GeForce GTX TITAN X, 80 %, 16 %, 12212 MiB, 6565 MiB, 5647 MiB
2023/11/16 17:20:47.387, NVIDIA GeForce GTX TITAN X, 79 %, 14 %, 12212 MiB, 6565 MiB, 5647 MiB
