timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/24 01:58:04.401, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:58:09.403, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:58:14.404, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:58:19.405, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:58:24.406, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:58:29.407, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:58:34.408, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:58:39.409, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:58:44.410, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:58:49.411, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:58:54.412, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:58:59.413, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:59:04.415, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:59:09.416, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12096 MiB, 116 MiB
2023/11/24 01:59:14.417, NVIDIA GeForce GTX TITAN X, 1 %, 0 %, 12212 MiB, 12007 MiB, 205 MiB
2023/11/24 01:59:19.417, NVIDIA GeForce GTX TITAN X, 15 %, 1 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/24 01:59:24.418, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/24 01:59:29.419, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/24 01:59:34.420, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10340 MiB, 1872 MiB
2023/11/24 01:59:39.421, NVIDIA GeForce GTX TITAN X, 32 %, 4 %, 12212 MiB, 9309 MiB, 2903 MiB
2023/11/24 01:59:44.422, NVIDIA GeForce GTX TITAN X, 38 %, 10 %, 12212 MiB, 8081 MiB, 4131 MiB
2023/11/24 01:59:49.423, NVIDIA GeForce GTX TITAN X, 33 %, 8 %, 12212 MiB, 8081 MiB, 4131 MiB
2023/11/24 01:59:54.424, NVIDIA GeForce GTX TITAN X, 66 %, 16 %, 12212 MiB, 8081 MiB, 4131 MiB
2023/11/24 01:59:59.424, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 8079 MiB, 4133 MiB
2023/11/24 02:00:04.425, NVIDIA GeForce GTX TITAN X, 18 %, 10 %, 12212 MiB, 8031 MiB, 4181 MiB
2023/11/24 02:00:09.426, NVIDIA GeForce GTX TITAN X, 47 %, 23 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:14.427, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:19.428, NVIDIA GeForce GTX TITAN X, 4 %, 1 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:24.429, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:29.430, NVIDIA GeForce GTX TITAN X, 31 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:34.431, NVIDIA GeForce GTX TITAN X, 31 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:39.432, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:44.433, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:49.433, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:54.434, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:59.435, NVIDIA GeForce GTX TITAN X, 31 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:04.436, NVIDIA GeForce GTX TITAN X, 4 %, 1 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:09.437, NVIDIA GeForce GTX TITAN X, 92 %, 24 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:14.438, NVIDIA GeForce GTX TITAN X, 73 %, 16 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:19.439, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:24.440, NVIDIA GeForce GTX TITAN X, 31 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:29.441, NVIDIA GeForce GTX TITAN X, 31 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:34.442, NVIDIA GeForce GTX TITAN X, 36 %, 12 %, 12212 MiB, 7785 MiB, 4427 MiB
